,"Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS","Number of deaths due to HIV/AIDS"
"Country","2015","2010","2005","2000"
"Afghanistan","<500 [<200-<1000]","<500 [<200-<500]","<200 [<200-<500]","<100 [<100-<200]"
"Albania","No data","No data","No data","No data"
"Algeria","<200 [<100-<200]","<200 [<200-<200]","<200 [<200-<500]","<100 [<100-<200]"
"Andorra","No data","No data","No data","No data"
"Angola","12 000 [ 6 900-19 000]","12 000 [ 8 100-18 000]"," 7 900 [ 7 200-16 000]"," 6 100 [ 3 500-10 000]"
"Antigua and Barbuda","No data","No data","No data","No data"
"Argentina"," 2 300 [ 2 000- 2 600]"," 2 200 [ 1 900- 2 500]"," 1 600 [ 1 600- 2 100]"," 1 400 [ 1 200- 1 700]"
"Armenia","<200 [<100-<200]","<200 [<100-<500]","<100 [<100-<200]","<100 [<100-<100]"
"Australia","<200 [<200-<500]","<500 [<500-<500]","<1000 [<500-<500]","<1000 [<1000-<1000]"
"Austria","No data","No data","No data","No data"
"Azerbaijan","<500 [<200-<1000]","<500 [<200-<500]","<100 [<100-<500]","<100 [<100-<100]"
"Bahamas","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]"
"Bahrain","No data","No data","No data","No data"
"Bangladesh","<1000 [<1000-<1000]","<1000 [<500-<1000]","<100 [<200-<500]","<100 [<100-<100]"
"Barbados","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]"
"Belarus","<1000 [<1000- 1 400]","<1000 [<1000- 1 200]","<500 [<500-<1000]","<200 [<100-<500]"
"Belgium","No data","No data","No data","No data"
"Belize","<200 [<100-<200]","<200 [<100-<200]","<100 [<100-<200]","<100 [<100-<100]"
"Benin"," 2 800 [ 1 900- 4 100]"," 2 400 [ 1 700- 3 500]"," 3 400 [ 3 100- 6 100]"," 2 600 [ 1 700- 3 900]"
"Bhutan","No data","No data","No data","No data"
"Bolivia (Plurinational State of)","<1000 [<500- 1 200]","<1000 [<1000- 1 200]","<1000 [<1000- 1 400]","<1000 [<1000- 1 200]"
"Bosnia and Herzegovina","No data","No data","No data","No data"
"Botswana"," 3 200 [ 2 800- 3 600]"," 5 300 [ 4 500- 6 000]","16 000 [ 9 100-12 000]","14 000 [11 000-16 000]"
"Brazil","15 000 [11 000-21 000]","15 000 [11 000-21 000]","15 000 [11 000-20 000]","14 000 [11 000-19 000]"
"Brunei Darussalam","No data","No data","No data","No data"
"Bulgaria","No data","No data","No data","No data"
"Burkina Faso"," 3 600 [ 2 500- 4 900]"," 5 200 [ 3 600- 6 900]","14 000 [ 8 600-13 000]","14 000 [12 000-17 000]"
"Burundi"," 3 000 [ 1 800- 4 000]"," 6 100 [ 5 100- 7 100]"," 7 500 [ 6 700- 9 500]"," 6 200 [ 4 600- 8 100]"
"Côte d'Ivoire","25 000 [20 000-30 000]","22 000 [18 000-26 000]","38 000 [29 000-45 000]","35 000 [25 000-47 000]"
"Cabo Verde","<200 [<100-<200]","<200 [<200-<500]","<500 [<200-<500]","<200 [<200-<500]"
"Cambodia"," 2 000 [ 1 500- 3 300]"," 3 200 [ 2 100- 4 500]","10 000 [ 7 500- 9 500]"," 8 600 [ 6 800-10 000]"
"Cameroon","33 000 [30 000-36 000]","28 000 [26 000-31 000]","31 000 [29 000-34 000]","26 000 [22 000-30 000]"
"Canada","No data","No data","No data","No data"
"Central African Republic"," 7 800 [ 7 000- 8 600]"," 9 500 [ 8 700-10 000]","13 000 [12 000-15 000]","12 000 [ 9 000-15 000]"
"Chad"," 8 500 [ 6 400-11 000]"," 8 400 [ 6 600-11 000]"," 8 900 [ 8 900-14 000]"," 7 100 [ 5 100- 9 700]"
"Chile","<500 [<500-<1000]","<1000 [<500-<1000]","<1000 [<500-<1000]","<1000 [<500-<1000]"
"China","No data","No data","No data","No data"
"Colombia"," 2 300 [ 1 800- 2 700]"," 4 600 [ 4 000- 5 300]"," 3 300 [ 3 100- 3 900]"," 3 000 [ 2 600- 3 400]"
"Comoros","No data","No data","No data","No data"
"Congo","No data","No data","No data","No data"
"Cook Islands","No data","No data","No data","No data"
"Costa Rica","<500 [<200-<500]","<200 [<200-<500]","<200 [<200-<200]","<200 [<200-<500]"
"Croatia","No data","No data","No data","No data"
"Cuba","<500 [<200-<500]","<200 [<200-<500]","<100 [<100-<200]","<200 [<100-<200]"
"Cyprus","No data","No data","No data","No data"
"Czechia","No data","No data","No data","No data"
"Democratic People's Republic of Korea","No data","No data","No data","No data"
"Democratic Republic of the Congo","22 000 [16 000-28 000]","33 000 [27 000-41 000]","36 000 [30 000-46 000]","33 000 [26 000-41 000]"
"Denmark","No data","No data","No data","No data"
"Djibouti","<1000 [<500-<1000]","<1000 [<1000- 1 100]","<1000 [<1000- 1 100]","<500 [<500-<1000]"
"Dominica","No data","No data","No data","No data"
"Dominican Republic"," 3 100 [ 1 800- 5 500]"," 5 000 [ 3 300- 7 700]"," 6 300 [ 5 200-11 000]"," 5 200 [ 3 300- 7 800]"
"Ecuador","<1000 [<1000- 1 300]"," 1 000 [<1000- 1 400]"," 1 600 [ 1 300- 2 000]"," 1 300 [<1000- 1 700]"
"Egypt","<500 [<200-<1000]","<500 [<200-<500]","<100 [<100-<500]","<100 [<100-<100]"
"El Salvador","<500 [<500-<1000]","<500 [<500-<500]","<1000 [<500-<1000]","<1000 [<500-<1000]"
"Equatorial Guinea"," 1 100 [<1000- 1 200]"," 1 300 [ 1 100- 1 600]","<500 [<1000- 1 000]","<500 [<500-<500]"
"Eritrea","<500 [<500-<1000]","<1000 [<1000- 1 100]"," 1 200 [ 1 100- 1 900]","<1000 [<1000- 1 300]"
"Estonia","No data","No data","No data","No data"
"Ethiopia","No data","No data","No data","No data"
"Fiji","No data","No data","No data","No data"
"Finland","No data","No data","No data","No data"
"France","No data","No data","No data","No data"
"Gabon"," 1 300 [<1000- 1 600]"," 2 500 [ 2 000- 3 000]"," 2 200 [ 1 800- 3 000]"," 1 700 [ 1 300- 2 200]"
"Gambia"," 1 000 [<1000- 1 300]"," 1 100 [<1000- 1 400]","<1000 [<1000- 1 200]","<500 [<500-<1000]"
"Georgia","<500 [<200-<500]","<200 [<200-<500]","<200 [<200-<200]","<100 [<100-<200]"
"Germany","No data","No data","No data","No data"
"Ghana","13 000 [10 000-16 000]","19 000 [16 000-22 000]","22 000 [19 000-28 000]","19 000 [15 000-24 000]"
"Greece","<500 [<500-<500]","<1000 [<500-<1000]","<500 [<500-<500]","<1000 [<1000-<1000]"
"Grenada","No data","No data","No data","No data"
"Guatemala"," 1 700 [<1000- 2 900]","<1000 [<500- 1 400]","<1000 [<500- 1 200]","<500 [<500-<1000]"
"Guinea"," 4 600 [ 3 700- 5 600]"," 4 700 [ 3 800- 5 600]"," 5 900 [ 5 300- 8 200]"," 5 100 [ 3 300- 7 300]"
"Guinea-Bissau","No data","No data","No data","No data"
"Guyana","<200 [<100-<200]","<200 [<100-<200]","<500 [<200-<500]","<200 [<100-<1000]"
"Haiti"," 8 000 [ 5 500-11 000]","14 000 [11 000-18 000]","18 000 [16 000-25 000]","16 000 [11 000-22 000]"
"Honduras"," 1 000 [<1000- 1 400]"," 1 500 [ 1 100- 1 900]"," 3 500 [ 2 100- 3 000]"," 3 700 [ 2 900- 4 500]"
"Hungary","No data","No data","No data","No data"
"Iceland","No data","No data","No data","No data"
"India","68 000 [47 000-99 000]","120 000 [86 000-200 000]","110 000 [110 000-270 000]","82 000 [59 000-140 000]"
"Indonesia","35 000 [31 000-40 000]","18 000 [14 000-21 000]"," 1 600 [ 3 800- 7 000]","<1000 [<500-<1000]"
"Iran (Islamic Republic of)"," 4 000 [ 2 700- 6 000]"," 3 200 [ 2 400- 4 300]"," 1 000 [ 1 100- 2 900]","<1000 [<500- 1 300]"
"Iraq","No data","No data","No data","No data"
"Ireland","No data","No data","No data","No data"
"Israel","No data","No data","No data","No data"
"Italy","<1000 [<1000-<1000]","<1000 [<1000-<1000]"," 1 400 [<1000- 1 500]","<1000 [<500- 1 300]"
"Jamaica"," 1 200 [<1000- 1 600]"," 1 400 [ 1 100- 1 700]"," 2 000 [ 1 700- 2 500]"," 1 800 [ 1 400- 2 200]"
"Japan","No data","No data","No data","No data"
"Jordan","No data","No data","No data","No data"
"Kazakhstan","<1000 [<500-<1000]","<500 [<500-<1000]","<200 [<500-<500]","<200 [<100-<200]"
"Kenya","36 000 [26 000-47 000]","51 000 [40 000-63 000]","130 000 [100 000-140 000]","120 000 [98 000-150 000]"
"Kiribati","No data","No data","No data","No data"
"Kuwait","No data","No data","No data","No data"
"Kyrgyzstan","<500 [<200-<500]","<200 [<200-<500]","<100 [<100-<200]","<100 [<100-<100]"
"Lao People's Democratic Republic","No data","No data","No data","No data"
"Latvia","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]","<500 [<500-<500]"
"Lebanon","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]"
"Lesotho"," 9 900 [ 8 700-11 000]"," 9 100 [ 7 700-10 000]","11 000 [12 000-17 000]"," 8 300 [ 6 500-10 000]"
"Liberia"," 1 900 [ 1 600- 2 300]"," 2 600 [ 2 300- 2 900]"," 2 600 [ 2 500- 3 700]"," 2 100 [ 1 500- 3 000]"
"Libya","No data","No data","No data","No data"
"Lithuania","No data","No data","No data","No data"
"Luxembourg","No data","No data","No data","No data"
"Madagascar"," 3 200 [ 2 800- 3 800]"," 3 600 [ 3 000- 4 300]"," 2 200 [ 2 200- 4 200]"," 1 500 [<1000- 2 600]"
"Malawi","27 000 [22 000-31 000]","47 000 [41 000-52 000]","73 000 [68 000-83 000]","65 000 [56 000-75 000]"
"Malaysia"," 7 200 [ 6 400- 8 100]"," 8 000 [ 7 200- 8 900]"," 8 100 [ 7 100- 9 200]"," 7 700 [ 6 300- 9 200]"
"Maldives","No data","No data","No data","No data"
"Mali"," 6 500 [ 5 400- 7 800]"," 5 100 [ 4 300- 6 100]"," 8 500 [ 6 100- 8 500]"," 8 400 [ 6 100-11 000]"
"Malta","No data","No data","No data","No data"
"Marshall Islands","No data","No data","No data","No data"
"Mauritania","<1000 [<1000- 1 300]","<1000 [<1000- 1 100]","<1000 [<1000- 1 200]","<1000 [<500-<1000]"
"Mauritius","<500 [<500-<500]","<1000 [<1000-<1000]","<500 [<500-<1000]","<500 [<200-<500]"
"Mexico"," 4 000 [ 3 200- 4 500]"," 5 200 [ 4 400- 5 900]"," 8 600 [ 6 500- 8 200]"," 8 700 [ 7 600- 9 900]"
"Micronesia (Federated States of)","No data","No data","No data","No data"
"Monaco","No data","No data","No data","No data"
"Mongolia","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]","<100 [<100-<100]"
"Montenegro","No data","No data","No data","No data"
"Morocco","<1000 [<1000- 1 300]","<1000 [<1000- 1 300]","<1000 [<500-<1000]","<500 [<500-<1000]"
"Mozambique","39 000 [26 000-56 000]","54 000 [39 000-73 000]","39 000 [40 000-72 000]","29 000 [20 000-40 000]"
"Myanmar"," 9 700 [ 7 600-12 000]","16 000 [14 000-18 000]","11 000 [14 000-19 000]"," 8 100 [ 6 400- 9 900]"
"Namibia"," 3 100 [ 2 500- 3 900]"," 4 900 [ 4 000- 5 800]","10 000 [ 9 300-13 000]"," 7 300 [ 5 600- 9 000]"
"Nauru","No data","No data","No data","No data"
"Nepal"," 2 300 [ 1 900- 2 700]"," 2 600 [ 2 200- 2 900]","<1000 [ 1 500- 2 300]","<500 [<500-<500]"
"Netherlands","No data","No data","No data","No data"
"New Zealand","No data","No data","No data","No data"
