"","Country","X2015","X2010","X2005","X2000","population","GDP..BILLIONS.","CODE"
"1","Afghanistan",6900,4500,3100,1900,32527,21.71,"AFG"
"2","Albania",0,0,0,0,2889,13.4,"ALB"
"3","Algeria",8800,6900,4200,2400,39667,227.8,"DZA"
"4","Andorra",0,0,0,0,56,4.8,"AND"
"5","Angola",320000,260000,190000,120000,70,131.4,"AGO"
"6","AntiguaandBarbuda",0,0,0,0,25022,1.24,"ATG"
"7","Argentina",110000,99000,84000,66000,92,536.2,"ARG"
"8","Armenia",3600,3000,2500,1000,43417,10.88,"ARM"
"9","Australia",27000,21000,18000,15000,3018,1483,"AUS"
"10","Austria",0,0,0,0,104,436.1,"AUT"
"11","Azerbaijan",11000,6800,3500,1500,23790,77.91,"AZE"
"12","Bahamas",8100,7400,6200,5300,8638,NA,NA
"13","Bahrain",0,0,0,0,9649,34.05,"BHR"
"14","Bangladesh",9600,8100,4400,1100,388,186.6,"BGD"
"15","Barbados",2600,2100,1600,1000,1377,4.28,"BRB"
"16","Belarus",35000,21000,14000,5600,160996,75.25,"BLR"
"17","Belgium",0,0,0,0,284,527.8,"BEL"
"18","Belize",3600,3300,3200,1500,9490,1.67,"BLZ"
"19","Benin",69000,64000,62000,55000,11249,9.24,"BEN"
"20","Bhutan",0,0,0,0,359,2.09,"BTN"
"21","Bolivia(PlurinationalStateof)",18000,16000,14000,14000,10880,NA,NA
"22","BosniaandHerzegovina",0,0,0,0,65,19.55,"BIH"
"23","Botswana",350000,320000,290000,270000,775,16.3,"BWA"
"24","Brazil",830000,7e+05,580000,460000,10725,2244,"BRA"
"25","BruneiDarussalam",0,0,0,0,3810,NA,NA
"26","Bulgaria",0,0,0,0,2262,55.08,"BGR"
"27","BurkinaFaso",95000,98000,110000,160000,207848,13.38,"BFA"
"28","Burundi",77000,93000,110000,110000,30,3.04,"BDI"
"29","Côted'Ivoire",460000,470000,5e+05,540000,423,NA,NA
"30","CaboVerde",3200,3300,3600,3500,7178,1.98,"CPV"
"31","Cambodia",74000,84000,96000,120000,18106,16.9,"KHM"
"32","Cameroon",620000,580000,520000,460000,11179,32.16,"CMR"
"33","Canada",0,0,0,0,521,1794,"CAN"
"34","CentralAfricanRepublic",120000,130000,160000,180000,15578,1.73,"CAF"
"35","Chad",170000,180000,170000,130000,23344,15.84,"TCD"
"36","Chile",32000,26000,20000,15000,35849,264.1,"CHL"
"37","China",0,0,0,0,60,10360,"CHN"
"38","Colombia",150000,110000,85000,60000,4900,400.1,"COL"
"39","Comoros",0,0,0,0,14037,0.72,"COM"
"40","Congo",0,0,0,0,164,NA,NA
"41","CookIslands",0,0,0,0,17948,0.18,"COK"
"42","CostaRica",10000,8000,5700,3600,1371220,50.46,"CRI"
"43","Croatia",0,0,0,0,48229,57.18,"HRV"
"44","Cuba",22000,11000,5200,2400,788,77.15,"CUB"
"45","Cyprus",0,0,0,0,77267,21.34,"CYP"
"46","Czechia",0,0,0,0,4620,NA,NA
"47","DemocraticPeople'sRepublicofKorea",0,0,0,0,4808,NA,NA
"48","DemocraticRepublicoftheCongo",370000,450000,510000,490000,22702,NA,NA
"49","Denmark",0,0,0,0,4204,347.2,"DNK"
"50","Djibouti",9400,10000,12000,11000,11390,1.58,"DJI"
"51","Dominica",0,0,0,0,158,0.51,"DMA"
"52","DominicanRepublic",68000,80000,1e+05,110000,1165,64.05,"DOM"
"53","Ecuador",29000,28000,26000,25000,10546,100.5,"ECU"
"54","Egypt",11000,6700,3500,1700,5683,284.9,"EGY"
"55","ElSalvador",20000,20000,17000,13000,888,25.14,"SLV"
