"","Country","X2015","X2010","X2005","X2000","population","GDP..BILLIONS.","CODE"
"1","Afghanistan",500,500,200,100,32527,21.71,"AFG"
"2","Albania",0,0,0,0,2889,13.4,"ALB"
"3","Algeria",200,200,200,100,39667,227.8,"DZA"
"4","Andorra",0,0,0,0,56,4.8,"AND"
"5","Angola",12000,12000,7900,6100,70,131.4,"AGO"
"6","AntiguaandBarbuda",0,0,0,0,25022,1.24,"ATG"
"7","Argentina",2300,2200,1600,1400,92,536.2,"ARG"
"8","Armenia",200,200,100,100,43417,10.88,"ARM"
"9","Australia",200,500,1000,1000,3018,1483,"AUS"
"10","Austria",0,0,0,0,104,436.1,"AUT"
"11","Azerbaijan",500,500,100,100,23790,77.91,"AZE"
"12","Bahamas",500,500,500,500,8638,NA,NA
"13","Bahrain",0,0,0,0,9649,34.05,"BHR"
"14","Bangladesh",1000,1000,100,100,388,186.6,"BGD"
"15","Barbados",100,100,100,100,1377,4.28,"BRB"
"16","Belarus",1000,1000,500,200,160996,75.25,"BLR"
"17","Belgium",0,0,0,0,284,527.8,"BEL"
"18","Belize",200,200,100,100,9490,1.67,"BLZ"
"19","Benin",2800,2400,3400,2600,11249,9.24,"BEN"
"20","Bhutan",0,0,0,0,359,2.09,"BTN"
"21","Bolivia(PlurinationalStateof)",1000,1000,1000,1000,10880,NA,NA
"22","BosniaandHerzegovina",0,0,0,0,65,19.55,"BIH"
"23","Botswana",3200,5300,16000,14000,775,16.3,"BWA"
"24","Brazil",15000,15000,15000,14000,10725,2244,"BRA"
"25","BruneiDarussalam",0,0,0,0,3810,NA,NA
"26","Bulgaria",0,0,0,0,2262,55.08,"BGR"
"27","BurkinaFaso",3600,5200,14000,14000,207848,13.38,"BFA"
"28","Burundi",3000,6100,7500,6200,30,3.04,"BDI"
"29","Côted'Ivoire",25000,22000,38000,35000,423,NA,NA
"30","CaboVerde",200,200,500,200,7178,1.98,"CPV"
"31","Cambodia",2000,3200,10000,8600,18106,16.9,"KHM"
"32","Cameroon",33000,28000,31000,26000,11179,32.16,"CMR"
"33","Canada",0,0,0,0,521,1794,"CAN"
"34","CentralAfricanRepublic",7800,9500,13000,12000,15578,1.73,"CAF"
"35","Chad",8500,8400,8900,7100,23344,15.84,"TCD"
"36","Chile",500,1000,1000,1000,35849,264.1,"CHL"
"37","China",0,0,0,0,60,10360,"CHN"
"38","Colombia",2300,4600,3300,3000,4900,400.1,"COL"
"39","Comoros",0,0,0,0,14037,0.72,"COM"
"40","Congo",0,0,0,0,164,NA,NA
"41","CookIslands",0,0,0,0,17948,0.18,"COK"
"42","CostaRica",500,200,200,200,1371220,50.46,"CRI"
"43","Croatia",0,0,0,0,48229,57.18,"HRV"
"44","Cuba",500,200,100,200,788,77.15,"CUB"
