"","Country","X2015","X2010","X2005","X2000","population","GDP..BILLIONS.","CODE"
"1","Afghanistan",0.1,0.1,0.1,0.1,32527,21.71,"AFG"
"2","Albania",0,0,0,0,2889,13.4,"ALB"
"3","Algeria",0.1,0.1,0.1,0.1,39667,227.8,"DZA"
"4","Andorra",0,0,0,0,56,4.8,"AND"
"5","Angola",2.2,2.1,1.9,1.5,70,131.4,"AGO"
"6","AntiguaandBarbuda",0,0,0,0,25022,1.24,"ATG"
"7","Argentina",0.4,0.4,0.4,0.3,92,536.2,"ARG"
"8","Armenia",0.2,0.2,0.1,0.1,43417,10.88,"ARM"
"9","Australia",0.2,0.1,0.1,0.1,3018,1483,"AUS"
"10","Austria",0,0,0,0,104,436.1,"AUT"
"11","Azerbaijan",0.2,0.1,0.1,0.1,23790,77.91,"AZE"
"12","Bahamas",3.2,3.2,3.1,3.1,8638,NA,NA
"13","Bahrain",0,0,0,0,9649,34.05,"BHR"
"14","Bangladesh",0.1,0.1,0.1,0.1,388,186.6,"BGD"
"15","Barbados",1.6,1.3,1,0.7,1377,4.28,"BRB"
"16","Belarus",0.6,0.4,0.2,0.1,160996,75.25,"BLR"
"17","Belgium",0,0,0,0,284,527.8,"BEL"
"18","Belize",1.5,1.7,2,1.1,9490,1.67,"BLZ"
"19","Benin",1.1,1.2,1.4,1.5,11249,9.24,"BEN"
"20","Bhutan",0,0,0,0,359,2.09,"BTN"
"21","Bolivia(PlurinationalStateof)",0.3,0.3,0.3,0.3,10880,NA,NA
"22","BosniaandHerzegovina",0,0,0,0,65,19.55,"BIH"
"23","Botswana",22.2,23.5,24.6,26,775,16.3,"BWA"
"24","Brazil",0.6,0.5,0.5,0.4,10725,2244,"BRA"
"25","BruneiDarussalam",0,0,0,0,3810,NA,NA
"26","Bulgaria",0,0,0,0,2262,55.08,"BGR"
"27","BurkinaFaso",0.8,1,1.4,2.4,207848,13.38,"BFA"
"28","Burundi",1,1.5,2.3,3.2,30,3.04,"BDI"
"29","Côted'Ivoire",3.2,3.8,4.6,5.6,423,NA,NA
"30","CaboVerde",1,1.1,1.3,1.6,7178,1.98,"CPV"
"31","Cambodia",0.6,0.8,1.1,1.8,18106,16.9,"KHM"
"32","Cameroon",4.5,4.8,5.2,5.4,11179,32.16,"CMR"
"33","Canada",0,0,0,0,521,1794,"CAN"
"34","CentralAfricanRepublic",3.7,4.8,6.5,8.7,15578,1.73,"CAF"
"35","Chad",2,2.7,3.3,3.2,23344,15.84,"TCD"
"36","Chile",0.3,0.2,0.2,0.2,35849,264.1,"CHL"
"37","China",0,0,0,0,60,10360,"CHN"
"38","Colombia",0.5,0.4,0.3,0.3,4900,400.1,"COL"
"39","Comoros",0,0,0,0,14037,0.72,"COM"
"40","Congo",0,0,0,0,164,NA,NA
"41","CookIslands",0,0,0,0,17948,0.18,"COK"
"42","CostaRica",0.3,0.3,0.2,0.2,1371220,50.46,"CRI"
"43","Croatia",0,0,0,0,48229,57.18,"HRV"
"44","Cuba",0.3,0.2,0.1,0.1,788,77.15,"CUB"
"45","Cyprus",0,0,0,0,77267,21.34,"CYP"
"46","Czechia",0,0,0,0,4620,NA,NA
"47","DemocraticPeople'sRepublicofKorea",0,0,0,0,4808,NA,NA
"48","DemocraticRepublicoftheCongo",0.8,1.2,1.7,1.9,22702,NA,NA
"49","Denmark",0,0,0,0,4204,347.2,"DNK"
"50","Djibouti",1.6,1.9,2.5,2.8,11390,1.58,"DJI"
"51","Dominica",0,0,0,0,158,0.51,"DMA"
"52","DominicanRepublic",1,1.4,1.9,2.3,1165,64.05,"DOM"
"53","Ecuador",0.3,0.3,0.3,0.3,10546,100.5,"ECU"
"54","Egypt",0.1,0.1,0.1,0.1,5683,284.9,"EGY"
"55","ElSalvador",0.5,0.6,0.5,0.4,888,25.14,"SLV"
"56","EquatorialGuinea",4.9,6.5,5.2,2.5,73,15.4,"GNQ"
"57","Eritrea",0.6,0.8,1.1,1.6,10528,3.87,"ERI"
"58","Estonia",0,0,0,0,2279147,26.36,"EST"
"59","Ethiopia",0,0,0,0,16144,49.86,"ETH"
"60","Fiji",0,0,0,0,91508,4.17,"FJI"
"61","Finland",0,0,0,0,6127,276.3,"FIN"
"62","France",0,0,0,0,845,2902,"FRA"
"63","Gabon",3.8,4.6,5.4,5,5228,20.68,"GAB"
"64","Gambia",1.8,2.1,2.2,1.7,1315,NA,NA
"65","Georgia",0.4,0.2,0.1,0.1,99391,16.13,"GEO"
"66","Germany",0,0,0,0,907791,3820,"DEU"
"67","Ghana",1.6,1.9,2.4,2.9,48,35.48,"GHA"
"68","Greece",0.3,0.2,0.2,0.1,892,246.4,"GRC"
"69","Grenada",0,0,0,0,5480,0.84,"GRD"
"70","Guatemala",0.6,0.6,0.5,0.3,66538,58.3,"GTM"
"71","Guinea",1.6,1.6,1.7,1.8,283,6.77,"GIN"
"72","Guinea-Bissau",0,0,0,0,1725,1.04,"GNB"
"73","Guyana",1.5,1.5,1.3,1,1991,3.14,"GUY"
"74","Haiti",1.7,2.8,4.4,5.5,3717,8.92,"HTI"
"75","Honduras",0.4,0.5,0.8,1.3,81680,19.37,"HND"
"76","Hungary",0,0,0,0,27410,129.7,"HUN"
"77","Iceland",0,0,0,0,32,16.2,"ISL"
"78","India",0,0,0,0,10821,2048,"IND"
"79","Indonesia",0.5,0.4,0.2,0.1,56,856.1,"IDN"
"80","Iran(IslamicRepublicof)",0.1,0.1,0.1,0.1,107,NA,NA
"81","Iraq",0,0,0,0,170,232.2,"IRQ"
"82","Ireland",0,0,0,0,16343,245.8,"IRL"
"83","Israel",0,0,0,0,12609,305,"ISR"
"84","Italy",0.4,0.3,0.3,0.2,1844,2129,"ITA"
"85","Jamaica",1.6,1.7,2,2.2,767,13.92,"JAM"
"86","Japan",0,0,0,0,10711,4770,"JPN"
"87","Jordan",0,0,0,0,1187093,36.55,"JOR"
"88","Kazakhstan",0.2,0.1,0.1,0.1,8075,225.6,"KAZ"
